TicketID,ApplicationName,AssignmentGroup,Status,Category,Subcategory,Urgency,Priority,Impact,ReassignmentCount
INC4114843,CCS INTERFACES,CCS INTERFACES,Closed,Business Application,Customer Care,3,4,3,0
INC3500597,CCS INTERFACES,CCS INTERFACES,Closed,Business Application,Unknown,3,4,3,0
INC4367814,SALESPAGE SUPPORT,SALESPAGE SUPPORT,Closed,Password,Business Application,3,4,3,1
INC2970657,SALESPAGE SUPPORT,SALESPAGE SUPPORT,Closed,Inquiry / Help,Internal Application,3,4,3,1
INC3888898,SALESPAGE SUPPORT,SALESPAGE SUPPORT,Closed,Business Application,Unknown,3,4,3,1
INC3992184,SALESPAGE SUPPORT,SALESPAGE SUPPORT,Closed,Business Application,Cloud Applications,3,4,3,1
INC4231827,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Storage Device,Unknown,3,4,3,1
INC4219743,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Business Application,Corporate,3,4,3,1
INC3723337,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Citrix,Access,3,4,3,3
INC3800145,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Citrix,Access,3,4,3,3
INC3807676,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Business Application,Corporate,3,4,3,1
INC3833487,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Business Application,Unknown,3,4,3,1
INC3843627,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Citrix,Unknown,3,4,3,1
INC3870934,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Business Application,Corporate,3,4,3,1
INC4007137,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Business Application,Corporate,3,4,3,1
INC4020616,MERCURY SUPPORT,MERCURY SUPPORT,Closed,Business Application,Corporate,3,4,3,1
INC4436313,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4436122,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4430902,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4419559,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4419479,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
INC4418914,FIELD DEVELOPMENT,FIELD DEVELOPMENT,Closed,Infrastructure Management Tools,Monitoring,2,3,2,1
